Date : 2025-02-04 19:36:36
Directory : /Users/jamesweigand/Documents/porcupine/Indium
Total : 109 files,  13772 codes, 2081 comments, 2653 blanks, all 18506 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |         69 |      8,315 |      1,884 |      2,018 |     12,217 |
| JSON        |         12 |      2,490 |          0 |          7 |      2,497 |
| C           |          1 |        682 |         61 |        153 |        896 |
| Makefile    |          1 |        591 |        132 |        215 |        938 |
| Markdown    |         13 |        408 |          0 |         84 |        492 |
| YAML        |          1 |        384 |          4 |         24 |        412 |
| CMake       |          9 |        373 |          0 |         75 |        448 |
| CMake Cache |          1 |        315 |          0 |         76 |        391 |
| XML         |          1 |        212 |          0 |          0 |        212 |
| TypeScript  |          1 |          2 |          0 |          1 |          3 |
+-------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        109 |     13,772 |      2,081 |      2,653 |     18,506 |
| . (Files)                                                                                                              |          2 |         45 |          0 |          9 |         54 |
| build                                                                                                                  |         23 |      5,485 |        259 |        698 |      6,442 |
| build (Files)                                                                                                          |          4 |      1,124 |        132 |        299 |      1,555 |
| build/.cmake                                                                                                           |          8 |      2,311 |          0 |          7 |      2,318 |
| build/.cmake/api                                                                                                       |          8 |      2,311 |          0 |          7 |      2,318 |
| build/.cmake/api/v1                                                                                                    |          8 |      2,311 |          0 |          7 |      2,318 |
| build/.cmake/api/v1/query                                                                                              |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/query/client-vscode                                                                                |          1 |          1 |          0 |          0 |          1 |
| build/.cmake/api/v1/reply                                                                                              |          7 |      2,310 |          0 |          7 |      2,317 |
| build/CMakeFiles                                                                                                       |         11 |      2,050 |        127 |        392 |      2,569 |
| build/CMakeFiles (Files)                                                                                               |          3 |        442 |          4 |         35 |        481 |
| build/CMakeFiles/3.29.3                                                                                                |          5 |      1,495 |        123 |        347 |      1,965 |
| build/CMakeFiles/3.29.3 (Files)                                                                                        |          3 |        146 |          0 |         44 |        190 |
| build/CMakeFiles/3.29.3/CompilerIdC                                                                                    |          1 |        682 |         61 |        153 |        896 |
| build/CMakeFiles/3.29.3/CompilerIdCXX                                                                                  |          1 |        667 |         62 |        150 |        879 |
| build/CMakeFiles/indium.dir                                                                                            |          3 |        113 |          0 |         10 |        123 |
| pch                                                                                                                    |          1 |          0 |          1 |          0 |          1 |
| porcupinetree                                                                                                          |         83 |      8,242 |      1,821 |      1,946 |     12,009 |
| porcupinetree (Files)                                                                                                  |         68 |      7,860 |      1,821 |      1,868 |     11,549 |
| porcupinetree/.VSCodeCounter                                                                                           |         15 |        382 |          0 |         78 |        460 |
| porcupinetree/.VSCodeCounter/2025-01-15_21-16-53                                                                       |          5 |         97 |          0 |         26 |        123 |
| porcupinetree/.VSCodeCounter/2025-01-15_21-20-56                                                                       |          5 |        117 |          0 |         26 |        143 |
| porcupinetree/.VSCodeCounter/2025-01-22_19-44-08                                                                       |          5 |        168 |          0 |         26 |        194 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                               | language    | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/jamesweigand/Documents/porcupine/Indium/CMakeLists.txt                                                          | CMake       |         16 |          0 |          3 |         19 |
| /Users/jamesweigand/Documents/porcupine/Indium/README.md                                                               | Markdown    |         29 |          0 |          6 |         35 |
