"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\Date.cpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\Date.hpp", "C++", 2, 0, 0, 0, -1, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FilePath.cpp", "C++", 12, 0, 0, 0, 15, 27
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FilePath.hpp", "C++", 2, 0, 0, 0, -1, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FileStream.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FileStream.hpp", "C++", 0, 0, 0, 0, -1, -1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\aes.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\aes.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\asset.cpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\asset.hpp", "C++", 3, 0, 0, 0, 0, 3
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\balloon.cpp", "C++", 37, 0, 0, 23, 10, 70
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\balloon.hpp", "C++", 21, 0, 0, 0, 2, 23
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\binary_dump.cpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmap.cpp", "C++", 29, 0, 0, 0, 11, 40
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmap.hpp", "C++", 3, 0, 0, 0, 0, 3
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmapRender.cpp", "C++", 1, 0, 0, -1, 0, 0
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmapRender.hpp", "C++", 2, 0, 0, 0, -1, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitstream.cpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitstream.hpp", "C++", 19, 0, 0, 0, 3, 22
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bytestream.cpp", "C++", -10, 0, 0, 1, 0, -9
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bytestream.hpp", "C++", 20, 0, 0, 0, 3, 23
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\crc.cpp", "C++", 10, 0, 0, 0, 4, 14
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\crc.hpp", "C++", 57, 0, 0, 0, 2, 59
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\error.cpp", "C++", 1, 0, 0, 0, 1, 2
