"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\Date.cpp", "C++", 140, 0, 0, 36, 26, 202
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\Date.hpp", "C++", 37, 0, 0, 0, 4, 41
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FilePath.cpp", "C++", 51, 0, 0, 5, 25, 81
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FilePath.hpp", "C++", 41, 0, 0, 5, 9, 55
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FileStream.cpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\FileStream.hpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ID3.hpp", "C++", 38, 0, 0, 13, 14, 65
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\aes.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\aes.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\asset.cpp", "C++", 790, 0, 0, 205, 245, 1240
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\asset.hpp", "C++", 131, 0, 0, 15, 13, 159
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\balloon.cpp", "C++", 1389, 0, 0, 583, 432, 2404
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\balloon.hpp", "C++", 78, 0, 0, 41, 8, 127
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\binary_dump.cpp", "C++", 9, 0, 0, 0, 4, 13
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\binary_dump.hpp", "C++", 10, 0, 0, 0, 2, 12
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmap.cpp", "C++", 70, 0, 0, 2, 26, 98
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmap.hpp", "C++", 45, 0, 0, 0, 7, 52
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmapRender.cpp", "C++", 53, 0, 0, 2, 13, 68
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitmapRender.hpp", "C++", 34, 0, 0, 9, 6, 49
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitstream.cpp", "C++", 186, 0, 0, 46, 60, 292
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bitstream.hpp", "C++", 68, 0, 0, 4, 21, 93
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bytestream.cpp", "C++", 231, 0, 0, 5, 55, 291
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\bytestream.hpp", "C++", 88, 0, 0, 3, 12, 103
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\crc.cpp", "C++", 10, 0, 0, 0, 4, 14
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\crc.hpp", "C++", 57, 0, 0, 0, 2, 59
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\error.cpp", "C++", 2, 0, 0, 0, 1, 3
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\error.hpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\filewrite.cpp", "C++", 27, 0, 0, 7, 14, 48
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\filewrite.hpp", "C++", 32, 0, 0, 0, 5, 37
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\h264.cpp", "C++", 2, 0, 0, 0, 2, 4
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\h264.hpp", "C++", 8, 0, 0, 0, 3, 11
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\jparse.cpp", "C++", 466, 0, 0, 75, 87, 628
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\jparse.hpp", "C++", 71, 0, 0, 4, 12, 87
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\jpg.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\linked_map.hpp", "C++", 84, 0, 0, 49, 18, 151
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\main.cpp", "C++", 15, 0, 0, 11, 10, 36
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\micro_vector.h", "C++", 55, 0, 0, 16, 12, 83
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mov.cpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mov.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp3.cpp", "C++", 143, 0, 0, 16, 55, 214
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp3.hpp", "C++", 56, 0, 0, 0, 9, 65
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp4.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\mp4.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\msutil.hpp", "C++", 186, 0, 0, 21, 47, 254
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\nal.cpp", "C++", 36, 0, 0, 5, 8, 49
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\nal.hpp", "C++", 13, 0, 0, 7, 2, 22
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\png.cpp", "C++", 362, 0, 0, 43, 77, 482
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\png.hpp", "C++", 28, 0, 0, 0, 3, 31
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\porcupinetree.vcxproj", "XML", 0, 202, 0, 0, 0, 202
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\realigned_buffer.hpp", "C++", 31, 0, 0, 16, 9, 56
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\sha.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\sha.hpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttf.cpp", "C++", 290, 0, 0, 107, 88, 485
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttf.hpp", "C++", 113, 0, 0, 10, 15, 138
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttfRender.cpp", "C++", 235, 0, 0, 66, 70, 371
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\ttfRender.hpp", "C++", 26, 0, 0, 0, 4, 30
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\types.hpp", "C++", 15, 0, 0, 3, 7, 25
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\x64\Debug\porcupinetree.log", "Log", 0, 0, 5, 0, 2, 7
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\x64\Release\porcupinetree.log", "Log", 0, 0, 10, 0, 2, 12
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\xml.cpp", "C++", 585, 0, 0, 69, 134, 788
"c:\Users\chris\source\repos\porcupinetree\porcupinetree\xml.hpp", "C++", 99, 0, 0, 8, 16, 123
"Total", "-", 6548, 202, 15, 1507, 1707, 9979
